Brand,Price,Color,SIM Type,Hybrid Sim Slot,Display Size (cm),Resolution Type,Display Type,Processor Type,Internal Storage,Primary Camera,Secondary Camera,Network Type,Bluetooth Version,Battery Capacity,Width,Height,Depth,Weight,Quick Charging,Processor Core,Primary Clock Speed,Audio Jack,RAM,Expandable Storage,Pixel Width,Pixel Height
0,48900,0,0,0,15.49,2,6,0,128,12,12,4,5.0,3110,75.7,150.9,8.3,194.0,0,2,2334.6074256055363,0,6,1024,1792,828
0,43900,0,0,0,15.49,2,2,0,64,12,12,4,5.0,3110,75.7,150.9,8.3,194.0,0,2,2334.6074256055363,0,6,512,1792,828
0,48900,10,0,0,15.49,2,6,0,128,12,12,4,5.0,3110,75.7,150.9,8.3,194.0,0,2,2334.6074256055363,0,6,1024,1792,828
0,69900,1,0,0,15.49,2,6,0,128,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,69900,4,0,0,15.49,2,6,0,128,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,69900,8,0,0,15.49,2,6,0,128,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,43900,10,0,0,15.49,2,6,0,64,12,12,4,5.0,3110,75.7,150.9,8.3,194.0,0,2,2334.6074256055363,0,6,512,1792,828
0,69900,9,0,0,15.49,2,6,0,128,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,69900,1,0,0,15.49,2,6,0,128,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,79900,1,1,0,15.49,2,6,0,128,12,12,5,5.3,3279,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,79900,1,1,0,15.49,2,6,0,128,12,12,5,5.3,3279,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,79900,7,1,0,15.49,2,6,0,128,12,12,5,5.3,3279,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,79900,9,1,0,15.49,2,6,0,128,12,12,5,5.3,3279,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,54900,9,0,0,11.94,2,6,0,128,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,1024,1334,750
0,64900,8,1,0,11.94,2,6,0,256,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,1024,1334,750
0,49900,9,1,0,11.94,2,6,0,64,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,512,1334,750
0,49900,8,1,0,11.94,2,6,0,64,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,512,1334,750
0,54900,8,1,0,11.94,2,6,0,128,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,1024,1334,750
0,69900,8,0,0,15.49,2,6,0,128,12,12,5,5.0,4620,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,89900,9,1,0,17.02,2,6,0,128,12,12,5,5.3,4323,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,1024,2778,1284
0,89900,7,1,0,17.02,2,6,0,128,12,12,5,5.3,4323,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,1024,2778,1284
0,59900,4,0,0,15.49,2,6,0,64,12,12,5,5.0,4620,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,89900,1,1,0,17.02,2,6,0,128,12,12,5,5.3,4323,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,1024,2778,1284
0,79900,4,0,0,15.49,2,6,0,256,12,12,5,5.0,4620,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,89900,1,1,0,17.02,2,6,0,128,12,12,5,5.3,4323,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,1024,2778,1284
0,59900,7,0,0,15.49,2,6,0,64,12,12,5,5.0,2815,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,79900,9,0,0,15.49,2,6,0,256,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,89900,1,1,0,15.49,2,6,0,256,12,12,5,5.3,4620,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,49900,1,1,0,11.94,2,6,0,64,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,512,1334,750
0,79900,8,0,0,15.49,2,6,0,256,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,59900,1,0,0,15.49,2,6,0,64,12,12,5,5.0,2815,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,59900,10,0,0,15.49,2,6,0,64,12,12,5,5.0,2815,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,79900,1,0,0,15.49,2,6,0,256,12,12,5,5.0,4620,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,79900,1,0,0,15.49,2,6,0,256,12,12,5,5.0,3240,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,64900,7,0,0,15.49,2,6,0,128,12,12,5,5.0,4620,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,64900,9,1,0,11.94,2,6,0,256,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,1024,1334,750
0,59900,0,0,0,15.49,2,6,0,64,12,12,5,5.0,2815,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,79900,8,1,0,15.49,2,6,0,128,12,12,5,5.3,3279,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,89900,8,1,0,17.02,2,6,0,128,12,12,5,5.3,4620,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,1024,2778,1284
0,89900,1,1,0,15.49,2,6,0,256,12,12,5,5.3,4620,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,89900,7,1,0,15.49,2,6,0,256,12,12,5,5.3,4620,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,89900,9,1,0,15.49,2,6,0,256,12,12,5,5.3,4620,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,64900,4,0,0,15.49,2,6,0,128,12,12,5,5.0,4620,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,64900,0,0,0,15.49,2,6,0,128,12,12,5,5.0,4620,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,64900,1,0,0,15.49,2,6,0,128,12,12,5,5.0,2815,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,64900,10,0,0,15.49,2,6,0,128,12,12,5,5.0,4620,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,139900,0,1,0,15.49,2,6,0,256,48,12,5,5.3,4620,71.5,147.5,7.85,206.0,0,2,2334.6074256055363,0,6,1024,2556,1179
0,89900,8,1,0,15.49,2,6,0,256,12,12,5,5.3,4620,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,139900,7,1,0,17.02,2,6,0,128,48,12,5,5.3,4323,77.6,160.7,7.85,240.0,0,2,2334.6074256055363,0,6,1024,2796,1290
0,129900,7,1,0,15.49,2,6,0,128,48,12,5,5.3,3200,71.5,147.5,7.85,206.0,0,2,2334.6074256055363,0,6,1024,2556,1179
0,79900,11,1,0,15.49,2,6,0,128,12,12,5,5.3,3279,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,1024,2532,1170
0,64900,8,0,0,15.49,2,6,0,128,12,12,5,5.0,2815,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,129900,9,1,0,15.49,2,6,0,128,48,12,5,5.3,4620,71.5,147.5,7.85,206.0,0,2,2334.6074256055363,0,6,1024,2556,1179
0,54900,1,1,0,11.94,2,6,0,128,12,7,5,5.0,4620,67.3,138.4,7.3,144.0,0,2,2334.6074256055363,0,6,1024,1334,750
0,149900,2,1,0,17.02,2,6,0,256,48,12,5,5.3,4620,77.6,160.7,7.85,240.0,0,2,2334.6074256055363,0,6,1024,2796,1290
0,99900,1,1,0,17.02,2,6,0,256,12,12,5,5.3,4620,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,1024,2778,1284
0,149900,9,0,0,15.49,2,6,0,512,12,12,5,5.0,4620,71.5,146.7,7.65,203.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,119900,9,1,0,17.02,2,6,0,512,12,12,5,5.3,4620,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,512,2778,1284
0,109900,1,1,0,15.49,2,6,0,512,12,12,5,5.3,4620,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,512,2532,1170
0,119900,1,1,0,17.02,2,6,0,512,12,12,5,5.3,4620,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,512,2778,1284
0,139900,2,1,0,17.02,2,6,0,128,48,12,5,5.3,4323,77.6,160.7,7.85,240.0,0,2,2334.6074256055363,0,6,1024,2796,1290
0,139900,0,1,0,17.02,2,6,0,128,48,12,5,5.3,4323,77.6,160.7,7.85,240.0,0,2,2334.6074256055363,0,6,1024,2796,1290
0,119900,1,1,0,17.02,2,6,0,512,12,12,5,5.3,4620,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,512,2778,1284
0,129900,2,1,0,15.49,2,6,0,128,48,12,5,5.3,4620,71.5,147.5,7.85,206.0,0,2,2334.6074256055363,0,6,1024,2556,1179
0,64900,8,0,0,13.72,2,6,0,128,12,12,5,5.0,4620,64.2,131.5,7.65,140.0,1,2,2334.6074256055363,0,6,1024,2340,1080
0,129900,0,1,0,15.49,2,6,0,128,48,12,5,5.3,4620,71.5,147.5,7.85,206.0,0,2,2334.6074256055363,0,6,1024,2556,1179
0,74900,7,0,0,15.49,2,6,0,256,12,12,5,5.0,4620,71.5,146.7,7.4,162.0,1,2,2334.6074256055363,0,6,1024,2532,1170
0,99900,9,0,0,15.49,2,6,0,512,12,12,5,5.0,4620,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,119900,11,1,0,17.02,2,6,0,512,12,12,5,5.3,4620,78.1,160.8,7.8,203.0,0,2,2334.6074256055363,0,6,512,2778,1284
0,139900,2,1,0,15.49,2,6,0,256,48,12,5,5.3,4620,71.5,147.5,7.85,206.0,0,2,2334.6074256055363,0,6,1024,2556,1179
0,99900,1,0,0,15.49,2,6,0,512,12,12,5,5.0,4620,71.5,146.7,7.65,173.0,1,2,2334.6074256055363,0,6,512,2532,1170
0,139900,9,1,0,17.02,2,6,0,128,48,12,5,5.3,4620,77.6,160.7,7.85,240.0,0,2,2334.6074256055363,0,6,1024,2796,1290
0,109900,7,1,0,15.49,2,6,0,512,12,12,5,5.3,4620,71.5,146.7,7.8,172.0,0,2,2334.6074256055363,0,6,512,2532,1170
